A,B,C,D,E,F,G
1583,0.00951936,0.015009052,24634,-0.011226852,-0.003031186,-0.000322683
1584,-0.00207242,0.004432675,17263,0.003935185,0.01489225,-0.000383839
1585,-0.003271538,0.006715261,24702,0.005882353,0.003454033,0.000216477
1586,-0.003211562,0.00584963,19021,0.002822581,0.000114791,0.000549038
1587,-0.003475585,0.012079084,40610,0.005581128,0.006652521,0.000837284
1588,0.00125128,0.004891366,22108,0.004457143,0.001196513,0.000883296
1589,-0.000910177,0.008476023,24641,-0.005511364,-0.000170629,0.001052404
1590,-0.004585598,0.008322011,30734,0.005068337,0.004892201,0.000449889
1591,-0.00056373,0.004340718,19201,0.006769056,0.004189312,0.000507416
1592,-0.005460751,0.007110353,25778,-0.006094808,-0.008850555,0.000670397
1593,0.001760763,0.005907077,10022,0.005091533,0.000511945,5.03E-05
1594,-0.002278034,0.006435446,23732,-0.006462585,-0.002726343,2.29E-05
1595,0.006333016,0.008855013,31818,0.005650685,0.015604533,-7.93E-05
1596,0.000279002,0.005133642,22651,0.004510022,0.004763773,0.000349156
1597,-0.006755625,0.008430573,41831,0.003292411,-0.000892807,0.000372134
1598,0.000165682,0.005467499,29680,0.011754781,0.011333817,0.000690444
1599,-0.006833713,0.008278238,38417,-0.006346578,-0.00585409,0.001123319
1600,-0.000837802,0.006032172,28043,0.003970917,-0.006722596,0.000998209
1601,-0.003915297,0.006837984,27909,0.005480984,0.013181412,0.000105124
1602,0.008673755,0.011135982,36601,-0.007585825,-0.013951693,0.000441829
1603,0.0049217,0.011521253,35823,-0.004661487,-5.60E-05,-8.05E-05
1604,0.002361142,0.007195862,30582,0.004398664,-0.004138702,-0.000536117
1605,0.006627311,0.009356204,31549,-0.006397306,0.00966944,-0.000467502
1606,0.000659848,0.005003849,22209,0.005973451,0.013087547,0.00018818
1607,-0.002308326,0.004396812,16624,-0.003406593,-5.50E-05,0.000184425
1608,0.001217151,0.007413555,32633,0.002202643,-0.002253366,0.000740294
1609,0.005664943,0.008854911,31927,0.00801105,0.006141079,0.000652397
1610,0.001380224,0.00640424,24589,-0.007986871,-0.004124959,0.001063589
1611,0.000110296,0.005183919,30157,-0.00429989,0.001656269,0.000511813
1612,0.000167103,0.005458698,31521,-0.004575524,-0.007831026,5.46E-05
1613,-0.005025687,0.009772169,23854,-0.013140312,-0.00501309,-0.00025648
